expression	reading	level	meaning	tags
司会	しかい	2	host, chairperson	JLPT JLPT_2
各地	かくち	2	various parts of the country	JLPT JLPT_2 Intermediate_Japanese_Ln.10 Intermediate_Japanese
各自	かくじ	2	individual, each	JLPT JLPT_2
吊る	つる	2	to hang	JLPT JLPT_2
同士	どうし	3	one another, companion, comrade	JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.9
同志	どうし	3	same mind, comrade, kindred soul	JLPT_1 JLPT JLPT_3
同時	どうじ	3	simultaneous(ly), same time	JLPT JLPT_2 JLPT_3
名人	めいじん	3	master, expert	JLPT JLPT_2 JLPT_3
吸う	すう	5	to breathe in, to suck	JLPT JLPT_3 JLPT_5 JLPT_N5
周囲	しゅうい	3	surroundings, circumference, environs	JLPT JLPT_2 JLPT_3
味	あじ	4	flavor, taste	JLPT JLPT_N4
商品	しょうひん	3	commodity, merchandise	JLPT JLPT_2 JLPT_3
商店	しょうてん	2	shop, business firm	JLPT JLPT_2
商社	しょうしゃ	2	trading company	JLPT JLPT_2
善	ぜん	3	good, virtue	JLPT JLPT_2 JLPT_3
四	し	5	four	JLPT JLPT_3 JLPT_5 JLPT_N5
四季	しき	2	four seasons	JLPT JLPT_2
四角	しかく	3	square	JLPT JLPT_2 JLPT_3
回数	かいすう	2	number of times, frequency	JLPT JLPT_2
団地	だんち	2	housing complex	JLPT JLPT_2
図	ず	3	figure, drawing, illustration	JLPT JLPT_2 JLPT_3
土地	とち	3	plot of land, lot, soil	JLPT JLPT_2 JLPT_3
地	ち	3	earth	JLPT JLPT_2 JLPT_3
地区	ちく	3	district, section	JLPT JLPT_2 JLPT_3
地名	ちめい	2	place name	JLPT JLPT_2
地帯	ちたい	2	area, zone	JLPT JLPT_2
地点	ちてん	2	site, point on a map	JLPT JLPT_2
地球	ちきゅう	3	the earth	JLPT JLPT_2 JLPT_3
地理	ちり	4	geography	JLPT JLPT_N4
基地	きち	2	base	JLPT JLPT_2
境	さかい	3	border, boundary, mental state	JLPT JLPT_2 JLPT_3
増す	ます	3	to increase, to gain	JLPT JLPT_2 JLPT_3
増加	ぞうか	3	increase, addition	JLPT JLPT_2 JLPT_3
増大	ぞうだい	2	increase, growth	JLPT JLPT_2
墨	すみ	3	ink	JLPT JLPT_2 JLPT_3
夏	なつ	5	summer	Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5
夢中	むちゅう	3	crush, crazy, be hooked on	JLPT JLPT_2 JLPT_3
大層	たいそう	2	very much, greatly	JLPT JLPT_2
失礼	しつれい	4	discourtesy, impoliteness; Excuse me	JLPT JLPT_N4
女～	じょ～	2	things done by women	JLPT JLPT_2
好き	すき	5	liking, fondness, love	JLPT JLPT_5 JLPT_N5
姓	せい	2	surname, family name	JLPT JLPT_2
字	じ	4	letter; character	Genki Genki_Ln.20 JLPT JLPT_N4
字体	じたい	3	font, lettering	JLPT_1 JLPT JLPT_3
官庁	かんちょう	2	government office, authorities	JLPT JLPT_2
定規	じょうぎ	2	(measuring) ruler	JLPT JLPT_2
実例	じつれい	2	example, instance	JLPT JLPT_2
家事	かじ	3	household matters; housework (same as 家の仕事 (いえのしごと))	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki
家族	かぞく	5	family, members of a family	Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
密	みつ	3	thick, close	JLPT JLPT_2 JLPT_3
対照	たいしょう	2	contrast, antithesis, comparison	JLPT JLPT_2
対象	たいしょう	3	target; object (of worship, study, etc.); subject (i.e., of taxation)	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
射す	さす	3	to shine, to strike	JLPT JLPT_2 JLPT_3
将棋	しょうぎ	2	Japanese chess	JLPT JLPT_2
小	しょう	3	small	JLPT JLPT_2 JLPT_3
小説	しょうせつ	4	novel	Genki Genki_Ln.20 JLPT JLPT_N4
少々	しょうしょう	3	a little; short (time) (formal for 少し (すこし))	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.20 Genki
少女	しょうじょ	3	young girl	JLPT JLPT_2 JLPT_3
就く	つく	3	to settle in (place), to take (seat position), to study (under teacher)	JLPT JLPT_2 JLPT_3
就職	しゅうしょく	3	finding employment	JLPT JLPT_2 JLPT_3
尻	しり	3	buttocks, bottom	JLPT JLPT_2 JLPT_3
屑	くず	2	waste, scrap	JLPT JLPT_2
岸	きし	3	bank, coast, shore	JLPT JLPT_2 JLPT_3
州	しゅう	3	state, province	JLPT JLPT_2 JLPT_3
巣	す	3	nest, breeding place	JLPT JLPT_2 JLPT_3
工事	こうじ	2	construction work	JLPT JLPT_2
工場	こうじょう	4	factory	Genki Genki_Ln.21 Intermediate_Japanese_Ln.15 JLPT JLPT_N4
差	さ	3	difference, variation	JLPT JLPT_2 JLPT_3
差す	さす	5	to raise (stretch out) hands, to raise (e.g., umbrella)	JLPT JLPT_3 JLPT_5 JLPT_N5
市	いち	3	market, fair	JLPT_1 JLPT JLPT_2 JLPT_3
市	し	4	city	JLPT JLPT_N4
常識	じょうしき	3	common sense	JLPT JLPT_2 JLPT_3
年	とし	5	year, age	JLPT JLPT_3 JLPT_5 JLPT_N5
幼児	ようじ	2	infant, baby, child	JLPT JLPT_2
幼稚	ようち	2	infancy, childish, infantile	JLPT JLPT_2
延長	えんちょう	2	extension, prolongation	JLPT JLPT_2
建つ	たつ	2	to be erected, to be built	JLPT JLPT_2
強調	きょうちょう	3	emphasis, stress, stressed point	JLPT JLPT_2 JLPT_3
待つ	まつ	5	to wait	JLPT JLPT_3 JLPT_5 JLPT_N5
後者	こうしゃ	3	the latter	JLPT JLPT_2 JLPT_3
復習	ふくしゅう	4	review (of lessons), revision	JLPT JLPT_N4
循環	じゅんかん	2	circulation, rotation, cycle	JLPT JLPT_2
心臓	しんぞう	3	heart	JLPT JLPT_2 JLPT_3
性	せい	3	sex, gender	JLPT JLPT_2 JLPT_3
患者	かんじゃ	3	patient	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
情	じょう	3	feelings, emotion, passion	JLPT_1 JLPT JLPT_3
意地	いじ	3	disposition, spirit, obstinacy, appetite	JLPT_1 JLPT JLPT_3
意志	いし	3	will, volition	JLPT JLPT_2 JLPT_3
意思	いし	3	intention, purpose	JLPT JLPT_2 JLPT_3
感ずる	かんずる	2	to feel, to sense	JLPT JLPT_2
感情	かんじょう	3	emotion(s), feeling(s), sentiment	JLPT JLPT_2 JLPT_3
感想	かんそう	2	impressions, thoughts, feelings, reactions	JLPT JLPT_2
感謝	かんしゃ	3	thanks, gratitude	JLPT JLPT_2 JLPT_3
慎重	しんちょう	3	careful, prudent, cautious	JLPT JLPT_2 JLPT_3
成人	せいじん	3	adult	JLPT JLPT_2 JLPT_3
成長	せいちょう	3	growth	JLPT JLPT_2 JLPT_3
所為	せい	3	cause, reason, fault	JLPT JLPT_2 JLPT_3
扇子	せんす	2	folding fan	JLPT JLPT_2 Genki_Ln.20 Genki
打つ	うつ	4	to hit, to strike	JLPT JLPT_N4
打つ	ぶつ	3	to hit, to strike	JLPT JLPT_2 JLPT_3
指す	さす	3	to point,	JLPT JLPT_2 JLPT_3
指導	しどう	3	leadership, guidance, coaching	JLPT JLPT_2 JLPT_3
指揮	しき	3	command, direction	JLPT_1 JLPT JLPT_3
挑戦	ちょうせん	3	challenge, defiance	JLPT_1 JLPT JLPT_3
振興	しんこう	3	promotion, encouragement	JLPT_1 JLPT JLPT_3
挿す	さす	3	to insert, to put in, to graft	JLPT JLPT_2 JLPT_3
捜査	そうさ	3	search (esp. in criminal investigations, investigation)	JLPT_1 JLPT JLPT_3
